The Verifier - November 2016 / Arkansas. Data as of October 29, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0500100000","Arkansas","Arkansas County","8307","30","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500300000","Arkansas","Ashley County","9810","26","Assigned Polling Place","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0500500000","Arkansas","Baxter County","24103","43","Assigned Polling Place","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0500700000","Arkansas","Benton County","119077","94","Vote Center","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0500900000","Arkansas","Boone County","19669","61","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501100000","Arkansas","Bradley County","4462","14","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0501300000","Arkansas","Calhoun County","3421","21","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0501500000","Arkansas","Carroll County","13111","21","Assigned Polling Place","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0501700000","Arkansas","Chicot County","5405","15","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0501900000","Arkansas","Clark County","10866","17","Vote Center","No","DREs with VVPAT for all voters","DRE",
"0502100000","Arkansas","Clay County","6662","17","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0502300000","Arkansas","Cleburne County","15076","35","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0502500000","Arkansas","Cleveland County","4265","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0502700000","Arkansas","Columbia County","11680","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502900000","Arkansas","Conway County","9768","31","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0503100000","Arkansas","Craighead County","43820","53","Assigned Polling Place","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0503300000","Arkansas","Crawford County","27660","43","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0503500000","Arkansas","Crittenden County","19531","25","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0503700000","Arkansas","Cross County","8219","22","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0503900000","Arkansas","Dallas County","3433","9","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0504100000","Arkansas","Desha County","5656","23","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0504300000","Arkansas","Drew County","8616","17","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0504500000","Arkansas","Faulkner County","59198","50","Vote Center","No","Hand marked paper ballots and DREs with VVPAT","Optical Scan and DRE",
"0504700000","Arkansas","Franklin County","8265","38","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0504900000","Arkansas","Fulton County","6057","12","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0505100000","Arkansas","Garland County","52297","56","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505300000","Arkansas","Grant County","10046","18","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0505500000","Arkansas","Greene County","17378","38","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0505700000","Arkansas","Hempstead County","8810","24","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
"0505900000","Arkansas","Hot Spring County","14535","31","Assigned Polling Place","No","DREs with VVPAT for all voters","DRE",
