The Verifier - November 2020 / Maryland. Data as of October 29, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"2400100000","Maryland","Allegany County","43979","37","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400300000","Maryland","Anne Arundel County","408180","195","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2451000000","Maryland","City of Baltimore","401044","296","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400500000","Maryland","Baltimore County","571953","236","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2400900000","Maryland","Calvert County","67450","23","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401100000","Maryland","Caroline County","21193","8","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401300000","Maryland","Carroll County","126576","36","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401500000","Maryland","Cecil County","69215","28","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401700000","Maryland","Charles County","119951","43","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2401900000","Maryland","Dorchester County","22340","39","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402100000","Maryland","Frederick County","189435","79","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402300000","Maryland","Garrett County","20331","19","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402500000","Maryland","Harford County","188195","86","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402700000","Maryland","Howard County","230077","118","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2402900000","Maryland","Kent County","13490","10","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403100000","Maryland","Montgomery County","682277","255","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403300000","Maryland","Prince George's County","606898","274","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403500000","Maryland","Queen Anne's County","38335","11","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403900000","Maryland","Somerset County","13709","23","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2403700000","Maryland","St. Mary's County","74791","36","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404100000","Maryland","Talbot County","28172","12","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404300000","Maryland","Washington County","99219","53","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404500000","Maryland","Wicomico County","64575","54","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"2404700000","Maryland","Worcester County","40962","20","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
