Manufacturer,Equipment Type,Model Name,First Manufactured,Last Manufactured,OS,Firmware Version,Battery Life,Scanning Rate,VVPAT?,Paper Capacity,Certification Level,Security Risks,Notes/Misc.,Discontinued,Team that added
Clear Ballot,Hand-Fed Optical Scanner,ClearCast,2018,2026,,ClearCast,,Hand-fed,FALSE,1 / Hand-fed,VVSG 1.0 (2005),,,FALSE,? + Magic
MicroVote,DRE Push Button,Infinity,2002,2022,"Microsoft Windows 2000, Windows XP Professional",Infinity Voting Panel Firmware v.3.11,,,FALSE,,,"manufacturer environmental-test evidence for the Chatsworth COTS scanners was incomplete,
security seals, external communication ports, CompactFlash Cards",,TRUE,? + Magic
Clear Ballot,BMD,ClearAccess,6/30/2015,2026,Windows 8.1 Pro,ClearVote 2.4/5,,N/A,TRUE,,VVSG 1.0 (2005),,,FALSE,? + Magic/The Bulls
Clear Ballot,Batch-Fed Optical Scanner,ClearCount,6/5/2014,2026,Windows 7,ClearVote,,50-60 ballots/min,TRUE,300-500,VVSG 1.0 (2005),,,FALSE,? + Magic/The Bulls
ES&S,Batch-Fed Optical Scanner,DS850,2012,,Windows,,,300 ballots/min,,,VVSG 1.0 (2005),,High speed central count,FALSE,Jazz
ES&S,Batch-Fed Optical Scanner,DS450,2016,,Windows,,,60-90 ballots/min,,,VVSG 1.0 (2005),,,FALSE,Jazz
ES&S,Hand-Fed Optical Scanner,DS200,2010,,Windows,,,Highspeed,,,VVSG 1.0 (2005),,Scanner/tabulator,FALSE,Jazz
ES&S,Hand-Fed Optical Scanner,DS300,,,Windows,,,,,,VVSG 1.0 (2005),,,FALSE,Jazz
ES&S,BMD,AutoMARK,,,,,,,,,VVSG 1.0 (2005),,,FALSE,Jazz
ES&S,Hybrid BMD/ Tab,ExpressVote XL,,,Windows,,,,,,VVSG 1.0 (2005),,,FALSE,Jazz
ES&S,DRE Touchscreen,ExpressTouch,,,Windows,,,,,,VVSG 1.0 (2005),,,FALSE,Jazz
Dominion,Hand-Fed Optical Scanner,ImageCast Precinct,2011,,,,,,TRUE,,VVSG 1.0 (2005),,,FALSE,Jazz
Dominion,Hand-Fed Optical Scanner,ImageCast Precinct 2,,,,,,,,TRUE,VVSG 1.0 (2005),,,FALSE,Jazz
Dominion,DRE Touchscreen,ImageCast DRE,,,Windows,,,,TRUE,,VVSG 1.0 (2005),,,FALSE,Jazz
Dominion,Hybrid optical scan/BMD,ImageCast Evolution,2011,,Windows,,,,TRUE,,VVSG 1.0 (2005),Printing after casting,,FALSE,Jazz
ES&S,BMD,ExpressVote,2014,,Windows,,,,TRUE,,VVSG 1.0 (2005),,,FALSE,Jazz/Lakers
Dominion,Batch-Fed Optical Scanner,ImageCast Central,2011,,Windows,,,High-speed,,,VVSG 1.0 (2005),,,FALSE,Jazz/Lakers
Dominion,BMD,ImageCast X,2013,,Android,,,,TRUE,,VVSG 1.0 (2005),Can reboot into Android Safe Mode,,FALSE,Jazz/Lakers
Dominion,Remote Ballot Marking,ImageCast Remote,2016,2024,Web-based,,Device Reliant,N/A,TRUE,N/A,,Unreadable bar codes and qr codes,,TRUE,Magic
ES&S,DRE Touchscreen,iVotronic,2006,2006,,,Battery,N/A,Optional / TRUE,N/A,,Personal Electronic Ballot (PEB) Slot,,TRUE,Magic
ES&S,Electronic Poll Book,ExpressPoll,2026,2026,Windows 10 / Windows 11,,16 hours,N/A (for ID),N/A,N/A,,"Remote monitoring and access, data synchronization and encryption, 
networking of ExpressPolls, and Capability to Change Voter Status",,FALSE,Magic
ES&S,Hand-Fed Optical Scanner,Model 100,2006,2018,,Unity 3.2.0.0,,Hand-fed,TRUE,Hand-fed,,"Security seals, ballot box access, memory card is sensitive, 
correct inks, keys, and counterfeit ballots",,TRUE,Magic
Enhanced Voting,Remote Ballot Marking,Enhanced Ballot,2020,2026,,,,N/A,,N/A,,,,FALSE ,Magic
KNOWiNK,Electronic Poll Book,Poll Pad,,2026,iOS,,Apple iPad battery,N/A (for ID),,N/A,,"Voter data storage, data synchronization, apple ios updates, and user access",,FALSE,Magic
Populex,BMD,Slate,2006,2006,Microsoft Windows XP Tablet PC Edition,,,,TRUE,,,"No phyiscal lock to secure the housing, manual visual verification
of the ballot is complex, touch screen cannot be blanked for blind voters to
protect their votes from being observed, nothing prevents a voter or
poll worker from double-tabulating a Populex ballot, no electronic
support for provisional ballots",,TRUE,Magic
Premier Election Solutions (Diebold),Hand-Fed Optical Scanner,AccuVote OS,2002,2020,,,,,,,,"Security seals, keys, ballot box access, memory card is sensitive, 
correct inks",,TRUE,Magic
Premier Election Solutions (Diebold),Hand-Fed Optical Scanner,AccuVote OSX,2007,,,,,,,,,,,TRUE,Magic
Sequoia Voting Systems,DRE Push Button,AVC Advantage,1998,2006,,,,N/A,N/A,N/A,,"Security seals, broken buttons, broken lights, fleeing voters,
premature voting, incorrect ballot style, incorrect totals tape, 
sensitive disability access panel, misleading activation",,TRUE,Magic
Smartmatic/Los Angeles County,BMD,VSAP BMD,2020,2020,,,,,,,,"Printer could alter the voter's choices without the
voter knowing.",,TRUE,Magic
Smartmatic/Los Angeles County,Batch-Fed Optical Scanner,VSAP Tally,2018,2018,,,,,,,,,,TRUE,Magic
Smartmatic/Los Angeles County,Remote Ballot Marking,VSAP Interactive Sample Ballot,2020,2020,,,,,,,,,,TRUE,Magic
Tenex,Electronic Poll Book,Precinct Central,,2026,iOS,Precinct Central Touchpad,iPad Battery,N/A,N/A,N/A,None,"Remote Updates, automatic data downloads,
remote retrieval of audit logs, incorrect
ballot printing",,FALSE,Magic
Triad Governmental Systems,Remote Ballot Marking,Accessible Ballot Marking Tool (ABMT),2018,2022,Web-based,Proprietary ABMT,,N/A,TRUE,N/A,None,,,TRUE,Magic
Unisyn,BMD,Freedom Vote Tablet (FVT),2018,2026,Linux,OpenElect Voting System,AC Wall Power,N/A,TRUE,,VVSG 1.0 (2005),,,FALSE,Magic
Unisyn,BMD,OpenElect OVI,2012,2020,Linux,OpenElect Voting System,AC Wall Power,N/A,TRUE,,VVSG 1.0 (2005),,,TRUE,Magic
Unisyn,BMD,OpenElect OVI-VC,2014,2020,Linux,OpenElect Voting System,AC Wall Power,N/A,TRUE,,VVSG 1.0 (2005),,,TRUE,Magic
Unisyn,Batch-Fed Optical Scanner,OpenElect OVCS,2012,2024,Linux,OpenElect Voting System,,150 ballots/min,FALSE,500 ballots,VVSG 1.0 (2005),,,TRUE,Magic
Unisyn,Hand-Fed Optical Scanner,Freedom Vote Scan (FVS),2020,2026,Linux,OpenElect Voting System,Internal battery,,FALSE,,VVSG 1.0 (2005),,,FALSE,Magic
Unisyn,Hand-Fed Optical Scanner,OpenElect OVO,2012,2022,Linux,OpenElect Voting System,,N/A,FALSE,N/A,VVSG 1.0 (2005),,,TRUE,Magic
VR Systems,Electronic Poll Book,EViD,2004,2026,Tablet / Mobile / COTS laptop,Proprietary,Device Reliant,N/A,FALSE,N/A,None,"Potential for voters to be checked in more than
once. Russian phishing and hacking (2016)",,FALSE,Magic
Voatz,Internet Voting,Mobile App,2020,2020,Mobile App,Proprietary,Mobile,Online ballot,FALSE,Online,None,,,TRUE,Magic
Votem,Internet Voting,CastIron Voting Platform,2016,2018,Mobile Device,Proprietary,Mobile,Online ballot,FALSE,Online,None,,,TRUE,Magic
VotingWorks,BMD,VxMark,2020,2022,Debian 12,VxSuite v4 (open-source),Connected  to UPS,,TRUE,,VVSG 2.0,,,TRUE,Magic
VotingWorks,Batch-Fed Optical Scanner,VxCentralScan,2020,2026,Debian 12,VxSuite v4 (open-source),Connected AC/UPS,50-100 ballots/min,FALSE,,VVSG 2.0,,,FALSE,Magic
VotingWorks,Hand-Fed Optical Scanner,VxScan,2022,2026,Debian 12,VxSuite v4 (open-source),Connected AC/UPS,30 ballots/min,FALSE,2000 ballots,VVSG 2.0,,,FALSE,Magic
ES&S,Batch-Fed Optical Scan Tabulator,Model 650,2004,2006,Windows,Proprietary,AC-powered,Highspeed,FALSE,,VVSG 1.0 (2005),,,TRUE,Magic
Clear Ballot,BMD,ClearMark,2024,2026,,ClearVote 2.4/5,"Internal/external
power source",N/A,TRUE,,"NYSBOE (2023)
+ VVSG 1.0 (2005)",,accessibility focused,FALSE,Magic + Shiny Melhiraj + The Bulls
ES&S,Batch-Fed Optical Scanner,DS650,12/15/2005,2014,Embedded OS,V2.1,,,FALSE,500 ballots,,,,TRUE,The Bulls
ES&S,Batch-Fed Optical Scanner,Model 150,1992,2002,Embedded OS,,,,FALSE,300,,,,TRUE,The Bulls
ES&S,Batch-Fed Optical Scanner,Model 550,1990,2000,Embedded OS,,,50 ballots/min,FALSE,250-300,State-level certified,,,TRUE,The Bulls
